"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Measles","All cases","Number of deaths","N","1999","AT","Austria",1.000000000,""
"Measles","All cases","Number of deaths","N","1999","DK","Denmark",0.000000000,""
"Measles","All cases","Number of deaths","N","1999","EL","Greece",0.000000000,""
"Measles","All cases","Number of deaths","N","1999","EUEEA30_21","EU/EEA (without UK)",4.000000000,""
"Measles","All cases","Number of deaths","N","1999","EUEEAUK_21","EU/EEA (with UK until 2019)",4.000000000,""
"Measles","All cases","Number of deaths","N","1999","FI","Finland",0.000000000,""
"Measles","All cases","Number of deaths","N","1999","IE","Ireland",-,""
"Measles","All cases","Number of deaths","N","1999","IT","Italy",-,""
"Measles","All cases","Number of deaths","N","1999","NL","Netherlands",3.000000000,""
"Measles","All cases","Number of deaths","N","1999","NO","Norway",0.000000000,""
"Measles","All cases","Number of deaths","N","1999","SE","Sweden",-,""
"Measles","All cases","Number of deaths","N","1999","UK","United Kingdom",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","DK","Denmark",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","EL","Greece",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","FI","Finland",-,""
"Measles","All cases","Number of deaths","N","2000","IE","Ireland",-,""
"Measles","All cases","Number of deaths","N","2000","IT","Italy",-,""
"Measles","All cases","Number of deaths","N","2000","NL","Netherlands",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","NO","Norway",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","PT","Portugal",0.000000000,""
"Measles","All cases","Number of deaths","N","2000","SE","Sweden",-,""
"Measles","All cases","Number of deaths","N","2000","UK","United Kingdom",0.000000000,""
"Measles","All cases","Number of deaths","N","2001","DE","Germany",2.000000000,""
"Measles","All cases","Number of deaths","N","2001","DK","Denmark",0.000000000,""
"Measles","All cases","Number of deaths","N","2001","EL","Greece",0.000000000,""
"Measles","All cases","Number of deaths","N","2001","ES","Spain",0.000000000,""
"Measles","All cases","Number of deaths","N","2001","EUEEA30_21","EU/EEA (without UK)",3.000000000,""
"Measles","All cases","Number of deaths","N","2001","EUEEAUK_21","EU/EEA (with UK until 2019)",3.000000000,""
"Measles","All cases","Number of deaths","N","2001","FI","Finland",-,""
"Measles","All cases","Number of deaths","N","2001","IE","Ireland",-,""
"Measles","All cases","Number of deaths","N","2001","IT","Italy",-,""
"Measles","All cases","Number of deaths","N","2001","LU","Luxembourg",0.000000000,""
"Measles","All cases","Number of deaths","N","2001","MT","Malta",-,""
"Measles","All cases","Number of deaths","N","2001","NL","Netherlands",-,""
"Measles","All cases","Number of deaths","N","2001","NO","Norway",1.000000000,""
"Measles","All cases","Number of deaths","N","2001","PT","Portugal",0.000000000,""
"Measles","All cases","Number of deaths","N","2001","SE","Sweden",-,""
"Measles","All cases","Number of deaths","N","2001","UK","United Kingdom",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","AT","Austria",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","DE","Germany",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","DK","Denmark",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","EL","Greece",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","ES","Spain",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","FI","Finland",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","IE","Ireland",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","IT","Italy",-,""
"Measles","All cases","Number of deaths","N","2002","LU","Luxembourg",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","MT","Malta",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","NL","Netherlands",-,""
"Measles","All cases","Number of deaths","N","2002","NO","Norway",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","PT","Portugal",0.000000000,""
"Measles","All cases","Number of deaths","N","2002","SE","Sweden",-,""
"Measles","All cases","Number of deaths","N","2002","UK","United Kingdom",-,""
"Measles","All cases","Number of deaths","N","2003","AT","Austria",2.000000000,""
"Measles","All cases","Number of deaths","N","2003","BE","Belgium",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","DE","Germany",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","DK","Denmark",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","EL","Greece",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","ES","Spain",1.000000000,""
"Measles","All cases","Number of deaths","N","2003","EUEEA30_21","EU/EEA (without UK)",3.000000000,""
"Measles","All cases","Number of deaths","N","2003","EUEEAUK_21","EU/EEA (with UK until 2019)",3.000000000,""
"Measles","All cases","Number of deaths","N","2003","FI","Finland",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","IE","Ireland",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","IT","Italy",-,""
"Measles","All cases","Number of deaths","N","2003","LU","Luxembourg",-,""
"Measles","All cases","Number of deaths","N","2003","MT","Malta",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","NL","Netherlands",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","NO","Norway",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","PT","Portugal",0.000000000,""
"Measles","All cases","Number of deaths","N","2003","SE","Sweden",-,""
"Measles","All cases","Number of deaths","N","2003","UK","United Kingdom",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","AT","Austria",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","BE","Belgium",1.000000000,""
"Measles","All cases","Number of deaths","N","2004","CZ","Czechia",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","DE","Germany",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","DK","Denmark",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","EL","Greece",-,""
"Measles","All cases","Number of deaths","N","2004","ES","Spain",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","EUEEA30_21","EU/EEA (without UK)",1.000000000,""
"Measles","All cases","Number of deaths","N","2004","EUEEAUK_21","EU/EEA (with UK until 2019)",1.000000000,""
"Measles","All cases","Number of deaths","N","2004","FI","Finland",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","IE","Ireland",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","IT","Italy",-,""
"Measles","All cases","Number of deaths","N","2004","LU","Luxembourg",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","MT","Malta",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","NL","Netherlands",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","NO","Norway",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","PT","Portugal",0.000000000,""
"Measles","All cases","Number of deaths","N","2004","SE","Sweden",-,""
"Measles","All cases","Number of deaths","N","2004","UK","United Kingdom",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","AT","Austria",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","BE","Belgium",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","BG","Bulgaria",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","CY","Cyprus",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","CZ","Czechia",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","DE","Germany",1.000000000,""
"Measles","All cases","Number of deaths","N","2005","DK","Denmark",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","EE","Estonia",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","EL","Greece",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","ES","Spain",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","EUEEA30_21","EU/EEA (without UK)",1.000000000,""
"Measles","All cases","Number of deaths","N","2005","EUEEAUK_21","EU/EEA (with UK until 2019)",1.000000000,""
"Measles","All cases","Number of deaths","N","2005","FI","Finland",-,""
"Measles","All cases","Number of deaths","N","2005","HU","Hungary",0.000000000,""
"Measles","All cases","Number of deaths","N","2005","IE","Ireland",0.000000000,""
