"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Measles","All cases","Reported confirmed cases","N","1999","AT","Austria",-,""
"Measles","All cases","Reported confirmed cases","N","1999","BE","Belgium",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","BG","Bulgaria",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","CY","Cyprus",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","CZ","Czechia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","DE","Germany",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","DK","Denmark",3.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","EE","Estonia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","EL","Greece",-,""
"Measles","All cases","Reported confirmed cases","N","1999","ES","Spain",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","EUEEA30_21","EU/EEA (without UK)",2914.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","EUEEAUK_21","EU/EEA (with UK until 2019)",3007.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","FI","Finland",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","FR","France",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","HR","Croatia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","HU","Hungary",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","IE","Ireland",-,""
"Measles","All cases","Reported confirmed cases","N","1999","IS","Iceland",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","IT","Italy",2908.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","LT","Lithuania",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","LU","Luxembourg",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","LV","Latvia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","MT","Malta",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","NL","Netherlands",-,""
"Measles","All cases","Reported confirmed cases","N","1999","NO","Norway",3.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","PL","Poland",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","PT","Portugal",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","RO","Romania",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","SE","Sweden",-,""
"Measles","All cases","Reported confirmed cases","N","1999","SI","Slovenia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","SK","Slovakia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","1999","UK","United Kingdom",93.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","AT","Austria",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","BE","Belgium",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","BG","Bulgaria",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","CY","Cyprus",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","CZ","Czechia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","DE","Germany",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","DK","Denmark",7.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","EE","Estonia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","EL","Greece",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","ES","Spain",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","EUEEA30_21","EU/EEA (without UK)",1444.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","EUEEAUK_21","EU/EEA (with UK until 2019)",1549.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","FI","Finland",2.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","FR","France",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","HR","Croatia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","HU","Hungary",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","IE","Ireland",-,""
"Measles","All cases","Reported confirmed cases","N","2000","IS","Iceland",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","IT","Italy",1435.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","LT","Lithuania",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","LU","Luxembourg",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","LV","Latvia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","MT","Malta",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","NL","Netherlands",-,""
"Measles","All cases","Reported confirmed cases","N","2000","NO","Norway",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","PL","Poland",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","PT","Portugal",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","RO","Romania",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","SE","Sweden",-,""
"Measles","All cases","Reported confirmed cases","N","2000","SI","Slovenia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","SK","Slovakia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2000","UK","United Kingdom",105.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","AT","Austria",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","BE","Belgium",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","BG","Bulgaria",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","CY","Cyprus",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","CZ","Czechia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","DE","Germany",2067.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","DK","Denmark",9.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","EE","Estonia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","EL","Greece",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","ES","Spain",31.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","EUEEA30_21","EU/EEA (without UK)",2947.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","EUEEAUK_21","EU/EEA (with UK until 2019)",3014.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","FI","Finland",1.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","FR","France",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","HR","Croatia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","HU","Hungary",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","IE","Ireland",-,""
"Measles","All cases","Reported confirmed cases","N","2001","IS","Iceland",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","IT","Italy",826.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","LT","Lithuania",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","LU","Luxembourg",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","LV","Latvia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","MT","Malta",1.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","NL","Netherlands",4.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","NO","Norway",4.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","PL","Poland",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","PT","Portugal",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","RO","Romania",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","SE","Sweden",4.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","SI","Slovenia",0.000000000,""
"Measles","All cases","Reported confirmed cases","N","2001","SK","Slovakia",0.000000000,""
