Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Austria;;0.000000000;0.000000000;;14.000000000;2.000000000;3.000000000;15.000000000;16.000000000;157.000000000;28.000000000;15.000000000;38.000000000;20.000000000;51.000000000;94.000000000;230.000000000;25.000000000;83.000000000;70.000000000;140.000000000;20.000000000;1.000000000;1.000000000;186.000000000;542.000000000
Belgium;0.000000000;0.000000000;0.000000000;0.000000000;7.000000000;19.000000000;11.000000000;8.000000000;14.000000000;38.000000000;24.000000000;30.000000000;415.000000000;51.000000000;31.000000000;58.000000000;35.000000000;62.000000000;243.000000000;95.000000000;382.000000000;20.000000000;4.000000000;8.000000000;52.000000000;436.000000000
Bulgaria;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;3.000000000;1.000000000;1.000000000;1.000000000;696.000000000;22005.000000000;31.000000000;1.000000000;13.000000000;0.000000000;0.000000000;1.000000000;123.000000000;13.000000000;1119.000000000;238.000000000;0.000000000;1.000000000;0.000000000;26.000000000
Cyprus;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;1.000000000;0.000000000;0.000000000;1.000000000;0.000000000;16.000000000;0.000000000;1.000000000;0.000000000;8.000000000;0.000000000;0.000000000;3.000000000;15.000000000;5.000000000;1.000000000;1.000000000;0.000000000;0.000000000;25.000000000
Czechia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;17.000000000;0.000000000;7.000000000;2.000000000;2.000000000;5.000000000;0.000000000;17.000000000;22.000000000;14.000000000;221.000000000;9.000000000;7.000000000;140.000000000;200.000000000;511.000000000;4.000000000;0.000000000;0.000000000;1.000000000;33.000000000
Germany;0.000000000;0.000000000;2067.000000000;792.000000000;201.000000000;62.000000000;248.000000000;835.000000000;280.000000000;374.000000000;387.000000000;712.000000000;919.000000000;121.000000000;1036.000000000;344.000000000;1588.000000000;272.000000000;643.000000000;459.000000000;407.000000000;57.000000000;5.000000000;10.000000000;71.000000000;524.000000000
Denmark;3.000000000;7.000000000;9.000000000;32.000000000;0.000000000;0.000000000;2.000000000;26.000000000;2.000000000;12.000000000;8.000000000;4.000000000;77.000000000;2.000000000;17.000000000;29.000000000;9.000000000;3.000000000;4.000000000;8.000000000;15.000000000;4.000000000;0.000000000;0.000000000;5.000000000;24.000000000
Estonia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;2.000000000;27.000000000;1.000000000;0.000000000;0.000000000;0.000000000;7.000000000;4.000000000;2.000000000;0.000000000;4.000000000;2.000000000;1.000000000;10.000000000;26.000000000;0.000000000;0.000000000;0.000000000;4.000000000;4.000000000
Greece;;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;27.000000000;214.000000000;0.000000000;1.000000000;1.000000000;92.000000000;37.000000000;3.000000000;4.000000000;1.000000000;1.000000000;0.000000000;568.000000000;1300.000000000;28.000000000;2.000000000;0.000000000;0.000000000;0.000000000;36.000000000
Spain;0.000000000;0.000000000;31.000000000;47.000000000;239.000000000;22.000000000;10.000000000;297.000000000;235.000000000;196.000000000;31.000000000;248.000000000;2142.000000000;822.000000000;109.000000000;150.000000000;32.000000000;25.000000000;149.000000000;220.000000000;276.000000000;90.000000000;2.000000000;1.000000000;10.000000000;194.000000000
Finland;0.000000000;2.000000000;1.000000000;0.000000000;0.000000000;0.000000000;1.000000000;0.000000000;0.000000000;5.000000000;2.000000000;5.000000000;27.000000000;4.000000000;2.000000000;2.000000000;2.000000000;4.000000000;10.000000000;15.000000000;12.000000000;5.000000000;3.000000000;1.000000000;1.000000000;2.000000000
France;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;17.000000000;25.000000000;305.000000000;886.000000000;2677.000000000;4991.000000000;396.000000000;121.000000000;137.000000000;157.000000000;50.000000000;339.000000000;1462.000000000;1659.000000000;186.000000000;12.000000000;15.000000000;102.000000000;436.000000000
Croatia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;10.000000000;0.000000000;0.000000000;11.000000000;138.000000000;4.000000000;7.000000000;23.000000000;52.000000000;0.000000000;0.000000000;0.000000000;3.000000000;32.000000000
Hungary;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;2.000000000;1.000000000;0.000000000;0.000000000;1.000000000;0.000000000;5.000000000;2.000000000;1.000000000;0.000000000;0.000000000;0.000000000;36.000000000;14.000000000;23.000000000;0.000000000;0.000000000;0.000000000;1.000000000;18.000000000
Ireland;;;;8.000000000;97.000000000;40.000000000;11.000000000;23.000000000;14.000000000;10.000000000;100.000000000;228.000000000;146.000000000;26.000000000;33.000000000;20.000000000;2.000000000;43.000000000;23.000000000;73.000000000;42.000000000;2.000000000;0.000000000;1.000000000;1.000000000;186.000000000
Iceland;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;1.000000000;0.000000000;1.000000000;3.000000000;0.000000000;9.000000000;0.000000000;0.000000000;0.000000000;0.000000000;2.000000000
Italy;2908.000000000;1435.000000000;826.000000000;18020.000000000;11978.000000000;686.000000000;215.000000000;571.000000000;595.000000000;5311.000000000;759.000000000;3064.000000000;1905.000000000;216.000000000;1244.000000000;1016.000000000;168.000000000;632.000000000;4358.000000000;2081.000000000;1430.000000000;83.000000000;5.000000000;12.000000000;20.000000000;961.000000000
Lithuania;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;1.000000000;0.000000000;2.000000000;7.000000000;2.000000000;35.000000000;11.000000000;50.000000000;22.000000000;2.000000000;30.000000000;834.000000000;2.000000000;0.000000000;0.000000000;3.000000000;30.000000000
Luxembourg;0.000000000;0.000000000;0.000000000;0.000000000;;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;6.000000000;2.000000000;0.000000000;2.000000000;0.000000000;0.000000000;4.000000000;4.000000000;25.000000000;0.000000000;0.000000000;0.000000000;0.000000000;3.000000000
Latvia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;2.000000000;6.000000000;0.000000000;3.000000000;0.000000000;0.000000000;1.000000000;3.000000000;0.000000000;35.000000000;0.000000000;0.000000000;0.000000000;25.000000000;3.000000000;0.000000000;0.000000000;0.000000000;1.000000000;0.000000000
Malta;0.000000000;0.000000000;1.000000000;0.000000000;0.000000000;1.000000000;2.000000000;0.000000000;0.000000000;1.000000000;1.000000000;0.000000000;6.000000000;0.000000000;1.000000000;0.000000000;1.000000000;0.000000000;0.000000000;5.000000000;32.000000000;2.000000000;0.000000000;0.000000000;0.000000000;10.000000000
Netherlands;;;4.000000000;1.000000000;4.000000000;3.000000000;3.000000000;1.000000000;10.000000000;50.000000000;14.000000000;13.000000000;35.000000000;10.000000000;882.000000000;116.000000000;6.000000000;5.000000000;15.000000000;23.000000000;70.000000000;2.000000000;0.000000000;6.000000000;6.000000000;134.000000000
Norway;3.000000000;0.000000000;4.000000000;5.000000000;8.000000000;7.000000000;0.000000000;0.000000000;17.000000000;3.000000000;2.000000000;3.000000000;39.000000000;4.000000000;8.000000000;3.000000000;14.000000000;0.000000000;1.000000000;10.000000000;14.000000000;4.000000000;0.000000000;1.000000000;2.000000000;7.000000000
Poland;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;1.000000000;90.000000000;30.000000000;89.000000000;62.000000000;6.000000000;29.000000000;50.000000000;56.000000000;87.000000000;30.000000000;77.000000000;40.000000000;214.000000000;951.000000000;15.000000000;7.000000000;7.000000000;20.000000000;185.000000000
Portugal;0.000000000;0.000000000;0.000000000;1.000000000;0.000000000;0.000000000;6.000000000;0.000000000;0.000000000;1.000000000;3.000000000;5.000000000;2.000000000;5.000000000;1.000000000;0.000000000;0.000000000;0.000000000;29.000000000;160.000000000;10.000000000;7.000000000;0.000000000;0.000000000;;35.000000000
Romania;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;4800.000000000;2830.000000000;344.000000000;11.000000000;7.000000000;180.000000000;1774.000000000;3262.000000000;884.000000000;47.000000000;4.000000000;1362.000000000;3901.000000000;4778.000000000;1270.000000000;724.000000000;0.000000000;8.000000000;3017.000000000;21458.000000000
