Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
austria;65.0;75.0;79.0;78.0;79.0;74.0;75.0;80.0;79.0;83.0;76.0;80.0;84.0;88.0;92.0;96.0;96.0;95.0;96.0;94.0;95.0;95.0;99.0;95.0;95.0;
belgium;82.0;82.0;82.0;82.0;82.0;82.0;88.0;92.0;92.0;93.0;95.0;95.0;95.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;
bulgaria;96.0;89.0;90.0;92.0;96.0;95.0;96.0;96.0;96.0;96.0;96.0;97.0;95.0;94.0;95.0;93.0;92.0;92.0;94.0;93.0;95.0;88.0;89.0;91.0;92.0;
cyprus;87.0;86.0;86.0;86.0;86.0;86.0;86.0;87.0;93.0;89.0;88.0;88.0;88.0;88.0;88.0;88.0;90.0;90.0;90.0;90.0;88.0;88.0;88.0;88.0;82.0;
czechia;97.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;99.0;99.0;99.0;99.0;98.0;97.0;96.0;92.0;94.0;97.0;97.0;90.0;
germany;92.0;92.0;94.0;94.0;95.0;96.0;96.0;96.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;
denmark;92.0;99.0;94.0;95.0;96.0;96.0;95.0;91.0;89.0;87.0;85.0;85.0;87.0;90.0;89.0;90.0;91.0;94.0;97.0;95.0;96.0;94.0;95.0;95.0;95.0;
estonia;92.0;93.0;95.0;95.0;96.0;97.0;98.0;98.0;96.0;97.0;96.0;95.0;95.0;94.0;94.0;93.0;93.0;93.0;93.0;88.0;90.0;91.0;89.0;89.0;89.0;
greece;88.0;89.0;91.0;92.0;94.0;95.0;96.0;98.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;97.0;
spain;95.0;94.0;96.0;97.0;98.0;97.0;97.0;97.0;97.0;98.0;98.0;95.0;97.0;97.0;95.0;96.0;96.0;97.0;98.0;98.0;98.0;96.0;95.0;96.0;96.0;
finland;96.0;96.0;96.0;96.0;97.0;97.0;97.0;97.0;98.0;97.0;98.0;98.0;97.0;97.0;97.0;96.0;95.0;94.0;94.0;96.0;96.0;95.0;93.0;94.0;94.0;
france;83.0;84.0;85.0;86.0;87.0;88.0;87.0;89.0;90.0;89.0;89.0;89.0;89.0;91.0;90.0;91.0;91.0;90.0;90.0;90.0;92.0;94.0;94.0;95.0;95.0;
croatia;92.0;99.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;97.0;97.0;97.0;96.0;96.0;95.0;95.0;95.0;91.0;90.0;90.0;90.0;
hungary;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;
iceland;94.0;91.0;88.0;91.0;93.0;93.0;90.0;95.0;95.0;96.0;93.0;93.0;94.0;97.0;94.0;93.0;94.0;95.0;95.0;95.0;94.0;93.0;92.0;91.0;91.0;
italy;70.0;74.0;77.0;81.0;84.0;86.0;87.0;88.0;90.0;90.0;90.0;91.0;90.0;90.0;90.0;87.0;85.0;87.0;92.0;93.0;94.0;92.0;94.0;94.0;95.0;
lithuania;97.0;97.0;97.0;98.0;98.0;98.0;97.0;97.0;97.0;97.0;96.0;96.0;94.0;93.0;93.0;93.0;94.0;94.0;94.0;92.0;93.0;91.0;88.0;87.0;87.0;
luxembourg;92.0;93.0;94.0;94.0;95.0;95.0;95.0;95.0;96.0;96.0;96.0;96.0;96.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;
latvia;97.0;97.0;98.0;98.0;98.0;98.0;99.0;99.0;98.0;96.0;92.0;95.0;92.0;92.0;96.0;95.0;96.0;93.0;96.0;98.0;99.0;99.0;97.0;96.0;96.0;
malta;67.0;74.0;70.0;65.0;90.0;94.0;86.0;94.0;79.0;83.0;85.0;85.0;85.0;93.0;99.0;98.0;91.0;93.0;91.0;96.0;96.0;99.0;93.0;96.0;95.0;
netherlands;96.0;96.0;95.0;96.0;98.0;98.0;95.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;96.0;95.0;94.0;93.0;93.0;94.0;94.0;93.0;89.0;89.0;
norway;90.0;90.0;90.0;90.0;89.0;90.0;91.0;92.0;93.0;95.0;96.0;97.0;94.0;94.0;93.0;94.0;95.0;96.0;96.0;96.0;97.0;97.0;97.0;96.0;96.0;
poland;97.0;97.0;97.0;98.0;97.0;97.0;98.0;99.0;98.0;98.0;98.0;98.0;98.0;98.0;98.0;97.0;96.0;96.0;94.0;93.0;93.0;92.0;91.0;91.0;91.0;
portugal;92.0;87.0;90.0;93.0;96.0;95.0;93.0;97.0;95.0;97.0;95.0;96.0;97.0;97.0;98.0;98.0;98.0;98.0;98.0;99.0;99.0;99.0;98.0;98.0;98.0;
romania;98.0;98.0;98.0;98.0;97.0;97.0;97.0;96.0;97.0;96.0;96.0;95.0;93.0;94.0;92.0;89.0;86.0;86.0;86.0;90.0;90.0;87.0;86.0;83.0;78.0;
sweden;89.0;94.0;94.0;95.0;95.0;96.0;96.0;97.0;96.0;96.0;97.0;97.0;97.0;98.0;97.0;97.0;98.0;97.0;97.0;97.0;97.0;97.0;97.0;92.0;93.0;
slovenia;98.0;98.0;98.0;98.0;98.0;99.0;99.0;99.0;98.0;98.0;98.0;96.0;96.0;96.0;95.0;94.0;96.0;93.0;94.0;94.0;94.0;94.0;95.0;96.0;95.0;
slovakia;99.0;99.0;99.0;99.0;99.0;99.0;98.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;99.0;98.0;98.0;97.0;97.0;97.0;98.0;98.0;96.0;96.0;95.0;
united kingdom;;;;;;;;;;;;;;;;;;;;;;;;;;
