Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Austria;0.000000000;0.000000000;0.000000000;0.000000000;1.728336810;0.245622606;0.365793035;1.817235094;1.931671002;18.897473263;3.359326925;1.796053782;4.537224584;2.378652733;6.034174726;11.048702918;26.791145317;2.873407658;9.460991364;7.934468544;15.803539428;2.246922390;0.111948686;0.111371857;20.428847642;59.178381329
Belgium;0.000000000;0.000000000;0.000000000;0.000000000;0.675946837;1.827552001;1.053049574;0.761079751;1.322684589;3.562433427;2.231918669;2.767551930;37.725084672;4.604596525;2.783270997;5.187445666;3.114634386;5.481333099;21.406434457;8.334364894;33.346372172;1.735743471;0.346177469;0.688609021;4.428246901;36.895697555
Bulgaria;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.390189441;0.131072404;0.132053768;0.133014064;93.208639102;2964.927754392;4.206566287;0.136477334;1.804914811;0.000000000;0.000000000;0.144117990;17.957467956;1.923811728;167.912707000;36.229264264;0.000000000;0.154261854;0.000000000;4.033833937
Cyprus;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;1.364131792;0.000000000;0.000000000;1.288107037;0.000000000;19.532680616;0.000000000;1.160078004;0.000000000;9.324009324;0.000000000;0.000000000;3.509584676;17.356370251;5.708420720;1.126119785;1.116062709;0.000000000;0.000000000;25.870142234
Czechia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;1.667427308;0.000000000;0.684691865;0.195041404;0.193359606;0.479580287;0.000000000;1.621096222;2.094152128;1.331288854;21.022754135;0.854029715;0.663265504;13.233990180;18.850043661;47.982121730;0.374043652;0.000000000;0.000000000;0.092357176;3.027368790
Germany;0.000000000;0.000000000;25.127784571;9.606950891;2.435280896;0.751226762;3.006029671;10.128824700;3.401571035;4.548891258;4.719376599;8.703916323;11.455701122;1.506325947;12.865770055;4.259140837;19.557243467;3.309981576;7.791894329;5.543990410;4.902479622;0.685370376;0.060128653;0.120138702;0.854202123;6.278754283
Denmark;0.564591423;1.313315898;1.682490804;5.960858766;0.000000000;0.000000000;0.369589783;4.790455349;0.367168929;2.191464210;1.451523383;0.722708103;13.847356809;0.358389798;3.034290337;5.153507895;1.590186078;0.525647111;0.695801136;1.383798145;2.583498232;0.686959095;0.000000000;0.000000000;0.842793124;4.026001933
Estonia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;1.471832800;19.989635004;0.744645995;0.000000000;0.000000000;0.000000000;5.264503708;3.018373595;1.514951817;0.000000000;3.042125838;1.519821512;0.760089234;7.580736741;19.625307589;0.000000000;0.000000000;0.000000000;2.928506374;2.909753275
Greece;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;2.461277720;19.446208335;0.000000000;0.090408254;0.090132761;8.273910319;3.326323481;0.270601672;0.363516899;0.091518044;0.092097840;0.000000000;52.747940160;121.029702085;2.610820227;0.186592142;0.000000000;0.000000000;0.000000000;3.461298833
Spain;0.000000000;0.000000000;0.762316108;1.145355954;5.713898003;0.517069753;0.230966416;6.748470705;5.247331754;4.291757249;0.670425766;5.334868513;45.899501007;17.557267610;2.333415039;3.226101727;0.689273072;0.538573913;3.204480733;4.716468428;5.882484457;1.902022590;0.042193382;0.021058465;0.207963501;3.990152550
Finland;0.000000000;0.386749797;0.193008648;0.000000000;0.000000000;0.000000000;0.190963201;0.000000000;0.000000000;0.943310083;0.375494197;0.934330226;5.022997889;0.740566982;0.368549871;0.366886982;0.365513575;0.728954890;1.817092554;2.720777489;2.174732902;0.904929549;0.542123639;0.180237304;0.179727784;0.356897426
France;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.268861271;0.392803433;4.765089449;13.768405413;41.401907884;76.809760537;6.066456840;1.844502354;2.070550455;2.362388855;0.750318236;5.074104679;21.812358100;24.654308037;2.756631622;0.177177820;0.220291156;1.493909901;6.367997645
Croatia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;2.331080034;0.000000000;0.000000000;2.608098573;33.007128822;0.968261595;1.716204080;5.729458459;13.102606512;0.000000000;0.000000000;0.000000000;0.779039880;8.285933049
Hungary;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.198067868;0.099240010;0.000000000;0.000000000;0.099691206;0.000000000;0.500714921;0.201370832;0.101058589;0.000000000;0.000000000;0.000000000;3.696152829;1.441270047;2.371067533;0.000000000;0.000000000;0.000000000;0.104169445;1.878007355
Ireland;0.000000000;0.000000000;0.000000000;2.051438802;24.469053080;9.928389012;2.675310677;5.465576846;3.225718748;2.243276620;22.117424948;50.116190431;31.941325972;5.665368063;7.158694593;4.312341144;0.427567226;9.098052890;4.792508351;15.033775539;8.501489076;0.398994534;0.000000000;0.194013632;0.189703105;34.755434788
Iceland;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;3.070583503;0.000000000;3.007256510;8.866584503;0.000000000;25.210719598;0.000000000;0.000000000;0.000000000;0.000000000;5.214212902
Italy;51.099025290;25.209261465;14.501228321;316.177682032;209.455475568;11.907243614;3.704063071;9.796017073;10.169075840;90.014250251;12.773349683;51.331609637;31.777277085;3.593699945;20.637948519;16.836267481;2.786277722;10.504670988;72.552637871;34.719343658;23.906378076;1.391648713;0.084407827;0.203286006;0.338999133;16.296082005
Lithuania;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.311273873;0.000000000;0.636542100;2.293136185;0.665858536;11.766141549;3.731517961;17.084414777;7.597805339;0.699526456;10.614960017;296.564966930;0.711749598;0.000000000;0.000000000;1.049949970;10.395403014
Luxembourg;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;11.722413254;3.810590775;0.000000000;3.638480571;0.000000000;0.000000000;6.772005208;6.644463086;40.723642844;0.000000000;0.000000000;0.000000000;0.000000000;4.463953575
Latvia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.888997939;2.693150510;0.000000000;1.368731779;0.000000000;0.000000000;0.482019469;1.467126823;0.000000000;17.487164421;0.000000000;0.000000000;0.000000000;12.924044357;1.562526042;0.000000000;0.000000000;0.000000000;0.531065189;0.000000000
Malta;0.000000000;0.000000000;2.554833106;0.000000000;0.000000000;2.500831526;4.966870971;0.000000000;0.000000000;2.451990035;2.433528178;0.000000000;14.458214555;0.000000000;2.372681890;0.000000000;2.278916603;0.000000000;0.000000000;10.529929218;64.912935525;3.884588865;0.000000000;0.000000000;0.000000000;17.748024201
Netherlands;0.000000000;0.000000000;0.250202116;0.062091419;0.247026847;0.184524179;0.183986705;0.061221204;0.611321976;3.047777137;0.849216358;0.784314246;2.101370219;0.597716198;52.563905820;6.892745142;0.355014335;0.294479337;0.878142660;1.338681541;4.050418920;0.114892445;0.000000000;0.341089869;0.336864970;7.468117547
Norway;0.674865685;0.000000000;0.888210691;1.105200499;1.757371956;1.529233371;0.000000000;0.000000000;3.631598668;0.633289362;0.416731607;0.617512786;7.926337900;0.802267207;1.583758556;0.587192624;2.710130973;0.000000000;0.190174917;1.888353373;2.627523079;0.745214790;0.000000000;0.184322624;0.364366156;1.261211949
Poland;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.026195953;2.358672597;0.786875360;2.334999430;1.625765723;0.157799770;0.761900398;1.313584311;1.471263015;2.288398378;0.789357067;2.028065850;1.053381032;5.635036042;25.044234280;0.395172176;0.188814841;0.189754550;0.544162368;5.051750404
Portugal;0.000000000;0.000000000;0.000000000;0.096203160;0.000000000;0.000000000;0.571718678;0.000000000;0.000000000;0.094756740;0.284009848;0.472881253;0.189166062;0.473531933;0.095202834;0.000000000;0.000000000;0.000000000;2.803428071;15.480220632;0.967726702;0.674673109;0.000000000;0.000000000;0.000000000;3.289558397
Romania;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;224.484170452;133.132514931;16.279782833;0.533062990;0.342460895;8.869318136;87.825873473;162.320892182;44.155680943;2.356207310;0.201301951;68.925084961;198.585325181;244.605659380;65.415166367;37.456985257;0.000000000;0.420113898;158.334902513;1125.365909122
Sweden;0.000000000;0.000000000;0.450308867;0.673466584;0.111846965;0.445649183;0.887765175;2.099969142;0.000000000;2.069057066;0.324101938;0.642351383;2.761383538;1.898162526;5.232373364;2.695735264;2.154430612;0.304537085;4.101988234;4.051286521;1.857248916;0.484140103;0.000000000;0.287017454;1.045472742;3.411770247
Slovenia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.977051026;10.730717997;0.973001164;0.485714882;24.744248782;8.725690469;0.484451998;3.872413651;4.354389224;23.066853508;2.862785271;0.000000000;0.000000000;0.472372804;7.533137566
Slovakia;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.000000000;0.370889203;0.185037087;0.000000000;0.000000000;0.000000000;0.000000000;1.103886176;73.303546495;50.087873946;0.000000000;0.000000000;0.000000000;1.105218251;0.921712165
United Kingdom;1.587581087;1.786162467;1.135597436;5.114824950;6.688918918;3.060520079;1.246218765;12.289600189;15.686074429;20.398999559;15.924608134;5.775057788;16.930452747;30.254308806;22.298605334;1.740449203;1.418584221;8.075982267;3.812032360;14.062920039;12.498666109;1.238333888;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
